HashID,Parameters,FLOPs,device,accelerator_backend,base_acc_test (%),inference_acc (%),warm_up,latency_ms,energy_J,RAM_usage_MB,swap_usage_MB,peak_memory_MB,Power_W,notes
05374,830426,120367808,jetson,onnxruntime_gpu,85.7,85.7,50,60.29,53.67,1874.26,2018.82,1084.12,4.67,
01459,858426,124873408,jetson,onnxruntime_gpu,85.3,85.3,50,22.03,52.93,1877.46,1975.84,1147.82,4.54,
11465,802426,115862208,jetson,onnxruntime_gpu,84.7,84.7,50,17.23,45.71,1850.16,1985.39,1135.14,4.53,
06111,1073466,156330688,jetson,onnxruntime_gpu,86.6,86.6,50,21.97,58.0,1837.39,2010.36,1113.04,4.73,
01317,830426,120367808,jetson,onnxruntime_gpu,85.1,85.1,50,20.09,51.47,1825.8,2062.43,1056.15,4.52,
02053,830426,120367808,jetson,onnxruntime_gpu,85.2,85.2,50,19.94,51.41,1815.8,2062.07,1056.31,4.55,
13714,1073466,156330688,jetson,onnxruntime_gpu,87.0,87.0,50,21.53,57.18,1804.0,2062.0,1056.02,4.62,
02581,1073466,156330688,jetson,onnxruntime_gpu,86.4,86.4,50,21.76,56.23,1800.84,2061.94,1055.93,4.59,
13539,830426,120511168,jetson,onnxruntime_gpu,85.8,85.8,50,19.79,53.78,1791.93,2061.86,1055.67,4.62,
10699,830426,120367808,jetson,onnxruntime_gpu,85.3,85.3,50,18.17,50.95,1787.62,2062.09,1055.52,4.67,
05374,830426,120367808,orange,rknn_npu,85.8,85.8,50,4.59,5.94,682.96,0.0,270.51,1.2,
02581,1073466,156330688,orange,rknn_npu,86.4,86.4,50,4.9,6.71,748.87,0.0,300.54,1.26,
01459,858426,124873408,orange,rknn_npu,85.3,85.3,50,4.79,6.32,712.87,0.0,300.2,1.24,
11465,802426,115862208,orange,rknn_npu,84.8,84.8,50,4.5,6.13,712.05,0.0,299.85,1.22,
10699,830426,120367808,orange,rknn_npu,85.3,85.3,50,3.99,5.43,713.03,0.0,300.05,1.26,
06111,1073466,156330688,orange,rknn_npu,86.6,86.6,50,4.71,6.55,711.45,0.0,300.72,1.26,
01317,830426,120367808,orange,rknn_npu,85.1,85.1,50,4.59,6.02,711.44,0.0,300.17,1.21,
13539,830426,120511168,orange,rknn_npu,85.8,85.8,50,11.13,9.89,712.26,0.0,300.37,1.24,
13714,1073466,156330688,orange,rknn_npu,87.0,87.0,50,4.57,6.09,712.48,0.0,300.77,1.23,
02053,830426,120367808,orange,rknn_npu,85.2,85.2,50,4.35,5.94,711.73,0.0,300.18,1.22,
01459,858426,124873408,rasp,pytorch_cpu,85.3,85.3,50,10.55,49.25,753.77,0.0,292.33,6.99,
06111,1073466,156330688,rasp,pytorch_cpu,86.6,86.6,50,11.46,57.0,830.03,0.0,320.98,7.28,
13539,830426,120511168,rasp,pytorch_cpu,85.8,85.8,50,10.57,50.53,801.86,0.0,321.56,7.1,
11465,802426,115862208,rasp,pytorch_cpu,84.7,84.7,50,9.14,45.14,863.3,0.0,321.78,7.05,
05374,830426,120367808,rasp,pytorch_cpu,85.7,85.7,50,10.37,50.07,828.86,0.0,321.78,7.19,
13714,1073466,156330688,rasp,pytorch_cpu,87.0,87.0,50,11.71,58.12,841.7,0.0,321.97,7.25,
10699,830426,120367808,rasp,pytorch_cpu,85.3,85.3,50,10.27,49.37,823.89,0.0,322.03,7.07,
02053,830426,120367808,rasp,pytorch_cpu,85.2,85.2,50,10.16,49.92,855.72,0.0,322.03,7.17,
02581,1073466,156330688,rasp,pytorch_cpu,86.4,86.4,50,11.85,56.96,847.23,0.0,322.03,7.18,
01317,830426,120367808,rasp,pytorch_cpu,85.1,85.1,50,10.03,48.84,884.03,0.0,322.09,7.13,
